arm,task_id,task_idx,epoch,n_rollouts,complete_8,duplicate_task_in_log,missing_rollout_indices
A0_R0_CURRENT,agentic_v5_stage3_000341,0,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000183,1,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000299,2,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000232,3,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000153,4,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000138,5,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000166,6,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000108,7,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000043,8,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000031,9,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000428,10,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000298,11,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000279,12,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000340,13,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000326,14,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000080,15,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000250,16,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000432,17,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000322,18,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000126,19,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000259,20,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000226,21,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000324,22,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000467,23,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000255,24,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000266,25,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000262,26,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000074,27,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000302,28,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000375,29,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000114,30,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000362,31,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000392,32,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000237,33,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000401,34,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000140,35,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000186,36,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000297,37,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000094,38,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000233,39,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000270,40,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000412,41,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000433,42,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000128,43,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000313,44,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000146,45,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000029,46,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000039,47,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000158,48,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000314,49,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000053,50,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000339,51,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000309,52,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000206,53,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000230,54,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000456,55,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000261,56,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000244,57,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000402,58,0,8,True,False,
A0_R0_CURRENT,agentic_v5_stage3_000161,59,0,8,True,False,
