arm,quartile,mean_reward,terminal_success,dead_rate,mixed_rate,reward_spread,kl_mean,clipping_mean
A0_R0_CURRENT,1,0.5845200218750001,0.196875,0.225,0.95,0.28700695,7.1716450509570894e-06,0.0
A0_R0_CURRENT,2,0.6199397249999999,0.24375,0.325,0.925,0.2987325999999999,1.2524997194608052e-05,0.0
A0_R0_CURRENT,3,0.630770909375,0.29375,0.275,0.925,0.27837504999999996,3.320146352052689e-05,0.0
A0_R0_CURRENT,4,0.6329185000000002,0.303125,0.3,0.9,0.24826397499999997,5.065370113418054e-05,0.0
A1_OUTCOME_ONLY,1,0.6310503999999999,0.30625,0.15,0.925,0.3404097249999999,6.309987017602631e-06,0.0
A1_OUTCOME_ONLY,2,0.5658212125,0.196875,0.175,0.95,0.2689653249999999,1.2830520669619242e-05,0.0
A1_OUTCOME_ONLY,3,0.6446259781250001,0.340625,0.2,0.925,0.35840274999999994,5.552750080823898e-05,0.0
A1_OUTCOME_ONLY,4,0.6109422875000001,0.240625,0.3,0.925,0.286211825,7.72721987021597e-05,0.003125
A2_R3_OUTCOME_FIRST,1,0.6405655875,0.309375,0.25,0.9,0.31224647499999997,8.319349338610966e-06,0.0
A2_R3_OUTCOME_FIRST,2,0.5840652062499999,0.2,0.275,0.975,0.21967715000000002,1.6006268560886382e-05,0.0
A2_R3_OUTCOME_FIRST,3,0.6468615406250002,0.28125,0.2,0.975,0.308638875,5.132130547199639e-05,0.0
A2_R3_OUTCOME_FIRST,4,0.6192896249999998,0.25625,0.275,0.925,0.29805892500000003,6.50766616066297e-05,0.0
A3_VERIFIABLE_PROCESS,1,0.6330026218750002,0.278125,0.15,0.975,0.33741322499999993,8.167140185832975e-06,0.00625
A3_VERIFIABLE_PROCESS,2,0.626997078125,0.24375,0.275,0.95,0.30229162499999995,1.722891207622445e-05,0.0
A3_VERIFIABLE_PROCESS,3,0.5935617,0.23125,0.2,0.925,0.290159675,3.676315148671468e-05,0.0
A3_VERIFIABLE_PROCESS,4,0.6332170625,0.2875,0.275,0.925,0.28003124999999995,6.630544296719812e-05,0.0
A4_GATED_VERIFIABLE,1,0.6137105468749998,0.2625,0.425,0.925,0.203357625,3.986267579926385e-06,0.0
A4_GATED_VERIFIABLE,2,0.6759992468749999,0.35625,0.225,0.925,0.30511109999999986,1.3475120067596435e-05,0.0
A4_GATED_VERIFIABLE,3,0.6033281531249999,0.228125,0.275,0.875,0.24361810000000003,2.7203435699145006e-05,0.0
A4_GATED_VERIFIABLE,4,0.607948828125,0.284375,0.325,0.9,0.28913202499999996,5.396654366263332e-05,0.0
