task_id,exact_match,first_divergence_turn_a,root_cause_a,shorter_path_verdict_a,observation_used_correctly_a,reward_ordering_correct_a,responsible_reward_component_a,recommended_fix_a,first_divergence_turn_b,root_cause_b,shorter_path_verdict_b,observation_used_correctly_b,reward_ordering_correct_b,responsible_reward_component_b,recommended_fix_b,confidence_diff
00830acf-eda7-4310-8396-aff5f243860e,True,1,later_tool_selection,not_applicable,True,True,none,no_change,1,later_tool_selection,not_applicable,True,True,none,no_change,0.0
01cb6e48-053d-4af1-a500-bb21f6ee84bb,False,1,reward_mismatch,not_applicable,True,False,call_count,outcome_reward,1,later_tool_selection,not_applicable,True,True,none,no_change,0.0
020f129c-336e-41a2-97a2-5f2dc6ddd3f4,True,,later_tool_selection,not_applicable,True,True,none,no_change,,later_tool_selection,not_applicable,True,True,none,no_change,0.0
02294fa2-cc75-4e2e-8fb7-1cea86c7e1a6,True,1,later_tool_selection,not_applicable,True,True,none,no_change,1,later_tool_selection,not_applicable,True,True,none,no_change,0.0
0308c795-2a66-4896-b45f-cf509a266c3e,True,2,later_tool_selection,not_applicable,True,True,none,no_change,2,later_tool_selection,not_applicable,True,True,none,no_change,0.0
0335ed3e-e613-420b-a07a-9d481b2a791e,True,2,later_tool_selection,not_applicable,True,True,none,no_change,2,later_tool_selection,not_applicable,True,True,none,no_change,0.0
037ab7a7-2503-4a04-9bde-f2d81c184790,True,1,later_tool_selection,not_applicable,True,True,none,no_change,1,later_tool_selection,not_applicable,True,True,none,no_change,0.0
04bd68f8-3e77-4cda-b43f-c42616d95d33,True,1,later_tool_selection,not_applicable,True,True,none,no_change,1,later_tool_selection,not_applicable,True,True,none,no_change,0.0
05ec87ae-0659-42c3-82e8-a0645c4a70df,True,,later_tool_selection,not_applicable,True,True,none,no_change,,later_tool_selection,not_applicable,True,True,none,no_change,0.0
064e9802-1efb-452f-9e16-22dcb17606a9,True,1,later_tool_selection,not_applicable,True,True,none,no_change,1,later_tool_selection,not_applicable,True,True,none,no_change,0.0
07421ac8-4030-4262-a84f-8f2ef84d6010,False,2,reward_mismatch,not_applicable,True,False,call_count,outcome_reward,2,later_tool_selection,not_applicable,True,True,none,no_change,0.0
0a5bee61-0e2f-49fc-a0d1-e303c980f6de,True,,later_tool_selection,not_applicable,True,True,none,no_change,,later_tool_selection,not_applicable,True,True,none,no_change,0.0
0c2bb42b-09bd-41c8-b1c3-a3e0aec4c077,True,1,later_tool_selection,not_applicable,True,True,none,no_change,1,later_tool_selection,not_applicable,True,True,none,no_change,0.0
0c3f5a6d-1aec-4d52-9310-c0e0ab651fef,True,1,later_tool_selection,not_applicable,True,True,none,no_change,1,later_tool_selection,not_applicable,True,True,none,no_change,0.0
0edcb8a5-990e-4830-b55e-f920ac2ec474,True,1,later_tool_selection,not_applicable,True,True,none,no_change,1,later_tool_selection,not_applicable,True,True,none,no_change,0.0
0f1d3aca-4e40-45a9-b1e8-9ef76e1e1cd2,True,3,later_tool_selection,not_applicable,True,True,none,no_change,3,later_tool_selection,not_applicable,True,True,none,no_change,0.0
